,street_all,mean_avail_all,street_morning,mean_avail_morning,street_late_morning,mean_avail_late_morning,street_mid_day,mean_avail_mid_day,street_evening,mean_avail_evening,street_late_evening,mean_avail_late_evening
0,1,0.019304650442935938,1,0.03575794621026895,1,0.04011969412865386,1,0.0010787486515641855,1,0.002315529484408768,1,0.044473749944899124
1,2,0.10264763338834805,2,0.041934511780460454,2,0.09331218499936053,2,0.16575049259897787,2,0.10600479897513605,2,0.07581539048268196
2,3,1.946499282877006,3,1.5389762677479712,3,2.168335255445473,3,2.1818063675745902,3,2.0562897466333427,3,1.55951772950112
3,4,0.016528851490978363,4,0.0,4,0.01900958466453674,4,0.021817794806300552,4,0.02702702702702703,4,0.002990033222591362
4,5,0.03599437291157882,5,0.031231841952353283,5,0.031304856641310705,5,0.03395730485415782,5,0.04550121600346647,5,0.029332129963898917
5,6,0.836240579034575,6,1.1145323335599844,6,0.9130890242733771,6,0.7506146347199982,6,0.7279591932259848,6,0.824235814598976
6,7,0.03846716526651362,7,0.041666666666666664,7,0.04472843450479233,7,0.02885652642934196,7,0.040043287192935595,7,0.04045189504373178
7,8,0.45304141509030943,8,0.6029894892659775,8,0.36305662294663915,8,0.3687631404581943,8,0.45714451158256,8,0.5020878528687145
8,9,0.42016491232916015,9,0.47682676445320893,9,0.43936173247924065,9,0.39259673147106844,9,0.3634685982031149,9,0.4945559016226878
9,10,0.00046305824243671537,10,0.00016633399866932801,10,0.0028352234823215477,10,0.0,10,0.0,10,0.0
10,11,2.8399035484180755,11,2.7833421181528144,11,3.3693102935252193,11,3.0731354958733346,11,2.686204387068891,11,2.296278250897101
11,12,0.5245642656055528,12,0.5860055426321276,12,0.5251937766673936,12,0.4449446525074159,12,0.4960182654048051,12,0.648323556343733
12,13,0.014093004586959782,13,0.0,13,0.0033645406670567584,13,0.035974192759295504,13,0.01720819524919393,13,0.0
13,14,0.08212392212719452,14,0.09803270523781854,14,0.09802508946745342,14,0.07033850821583731,14,0.07863883741247196,14,0.07446950362112817
14,15,0.006592451901372648,15,0.0035282475445721816,15,0.03374600638977636,15,0.0,15,0.000177367860943597,15,0.006397715998303877
15,16,0.12355302735468161,16,0.07155963302752294,16,0.08020412289497164,16,0.10976923390957798,16,0.16313349556158807,16,0.14833049142349855
16,17,0.08530838555198547,17,0.04723022154487698,17,0.035845588235294115,17,0.06923549574084978,17,0.12356041810789514,17,0.11550194592609535
17,18,0.488049505220693,18,0.6002603558242556,18,0.38122369260612504,18,0.4425601330974864,18,0.4747963766009131,18,0.5692886694644987
18,19,0.09623074891173496,19,0.054459918048852904,19,0.052679941494056304,19,0.08864516561458388,19,0.09527567175849708,19,0.1951460087301552
19,20,0.28374987878790586,20,0.28996657654665076,20,0.3124634553827669,20,0.30939170254332526,20,0.28504985999815874,20,0.21913707268575777
20,21,0.08553086872569006,21,0.03776290630975143,21,0.10638977635782748,21,0.08395038251571382,21,0.0771591653101404,21,0.13201747279066867
21,22,0.49352875579343103,22,0.6520087016835653,22,0.4324925001047121,22,0.4259331560205721,22,0.5376326316805583,22,0.40939320384904326
22,23,0.2409150678393706,23,0.23241854806897402,23,0.19178112107645087,23,0.20391025893080675,23,0.3157565161963983,23,0.20510615935826698
23,24,0.07220988099105659,24,0.05243201662434667,24,0.06135933015687258,24,0.06867582068439664,24,0.08501442248407008,24,0.0821847641798523
24,25,0.3105119893705087,25,0.28718804644452517,25,0.26653739881625876,25,0.19452656626088216,25,0.3333123568188136,25,0.4975374315230158
25,26,0.0004051924928990789,26,0.0,26,0.00013412017167381974,26,0.0,26,0.0,26,0.0025571600481347776
26,27,0.0016488977231658836,27,0.0,27,0.0,27,0.0,27,0.005334697456883952,27,0.0
27,28,0.0888334163937933,28,0.14838818422739553,28,0.046701903770735305,28,0.03563256093221846,28,0.0931215513929739,28,0.12783122463545704
28,29,0.32900398061584935,29,0.2183085659690417,29,0.2603307926930814,29,0.27654546662544677,29,0.37017166134391954,29,0.5070342834178749
29,30,0.3553492136614232,30,0.3384466471970742,30,0.3509166915473269,30,0.3675255303786791,30,0.3560813498461342,30,0.35324841546434627
30,31,0.36147016157482187,31,0.3797797622979339,31,0.3256024709559503,31,0.34230295831889873,31,0.30856953617141475,31,0.5200361401231993
31,32,0.09553165465006921,32,0.14784923383225584,32,0.1006548391633851,32,0.10471333171337702,32,0.056936758581408016,32,0.09898380906964598
32,33,0.07021627695240396,33,0.06223175965665236,33,0.06319034475413521,33,0.06294899425287356,33,0.07017780172413793,33,0.10101975780752072
33,34,0.0033928824754108386,34,0.0011210762331838565,34,0.0,34,0.0,34,0.010518343991921912,34,0.0
34,35,2.372817008352316e-05,35,0.0,35,0.0001529987760097919,35,0.0,35,0.0,35,0.0
35,36,0.022743623764530232,36,0.0,36,0.0037939297124600637,36,0.04054285322131678,36,0.041954235564643505,36,0.0
36,37,0.01562248471368731,37,0.03117307898245732,37,0.03920421299005266,37,0.014649569699861796,37,0.002354935945742276,37,0.00421179302045728
37,38,0.2299224329563142,38,0.25962533580911,38,0.23133629948735085,38,0.19698966487279845,38,0.2181425464179655,38,0.27197948275103845
38,39,0.00029533372711163615,39,0.0,39,0.0,39,0.0,39,0.0009437523593808985,39,0.0
39,40,0.008952671937548493,40,0.0029940119760479044,40,0.0,40,0.0,40,0.005194784119041671,40,0.042566949473635735
40,41,0.07954665789540268,41,0.03571428571428571,41,0.08355733158101467,41,0.10655982807719241,41,0.09284830563009644,41,0.05509554140127389
