,cluster_ids,c_len,all_c_pickups,all_c_dropoffs,all_phhi,all_dhhi,all_hhi_ratio,morning_c_pickups,morning_c_dropoffs,morning_phhi,morning_dhhi,morning_hhi_ratio,late_morning_c_pickups,late_morning_c_dropoffs,late_morning_phhi,late_morning_dhhi,late_morning_hhi_ratio,afternoon_c_pickups,afternoon_c_dropoffs,afternoon_phhi,afternoon_dhhi,afternoon_hhi_ratio,evening_c_pickups,evening_c_dropoffs,evening_phhi,evening_dhhi,evening_hhi_ratio,late_evening_c_pickups,late_evening_c_dropoffs,late_evening_phhi,late_evening_dhhi,late_evening_hhi_ratio
0,2947,4,124375,101045,3767.2412400090902,3412.4563309212676,1.1039676041779678,5543,5294,4194.641607514492,3616.277859946231,1.159933437077443,31292,29394,3774.0839650382436,3479.290999826765,1.0847278842804917,47853,39417,3757.2482932010785,3413.7290139176935,1.1006287487620912,30237,19838,3778.73173023719,3373.9264959164493,1.1199804544677208,9450,7102,4150.426695781192,3750.0008921773183,1.1067801888898698
1,1933,7,73183,64585,2895.485210964388,2705.3345425632406,1.0702873028860171,2937,2574,4025.1327126262568,2778.366414730051,1.4487407748978793,17576,14523,2870.594151850633,2636.4821010206315,1.088797132641019,24211,22297,2775.0737738864427,2704.0831144482395,1.0262531351417756,20190,17940,2974.461241288492,2712.634024725053,1.0965213936627434,8269,7251,2860.5007218795986,2833.223408843726,1.009627660477013
2,2384,5,82080,70302,3097.412371541671,2905.793864365514,1.0659435996221285,2003,4091,3453.444396560427,3140.830988676636,1.0995320693825388,20879,23274,3016.853032576655,2893.648083242558,1.042577723962907,36209,29955,3102.213955699715,2904.4573369819377,1.0680872864613218,19316,10512,3144.9171630414558,2943.7007122685327,1.068354928180813,3673,2470,3435.6321940468297,3316.50084413775,1.0359207958953656
3,2000,8,132099,98439,1717.2882663411735,1603.4249871654915,1.0710125388384821,5436,5229,1811.2929311634048,1559.990565582641,1.1610922342257275,32618,27693,1839.7340058873808,1712.3975209518521,1.074361521421,51417,38338,1698.7912124053883,1623.9910571261858,1.0460594625512094,33252,21208,1701.8561377816727,1591.7444784648856,1.069176718252531,9376,5971,1778.2160119075354,1628.8197061210356,1.0917205908211172
4,2165,8,66529,67387,3136.7062730363327,2835.5720855407335,1.1061987417040657,2949,4037,2728.524627035322,2808.1606300992503,0.9716412222967766,17470,20837,3501.4786653643546,3089.5809388466664,1.1333183155484667,28887,27655,3283.5590106909167,2920.264039301044,1.1244048368574324,14211,11866,2706.592655013205,2461.3322843327546,1.0996453718344406,3012,2992,2580.408776580266,2299.6529068603622,1.1220861934783064
5,555,16,88114,76439,1802.6950643599725,1295.1055698570037,1.3919290491191487,12770,7716,2515.8344519536968,1255.1749631353164,2.0043695308177307,16780,14235,1641.311525014881,1192.3932277815964,1.3764851114329797,20913,19982,1608.0691684031963,1274.4509794577305,1.261774045705091,26284,24539,1871.6816321055421,1439.1561410378777,1.300541045362694,11367,9967,1844.6958315628451,1377.3463868510642,1.3393114826984454
6,742,12,71183,64097,2070.262443784337,1795.3095689268725,1.1531506764161095,9648,8857,2852.9742370925906,1958.6649486199178,1.4565912557442793,12668,11355,1999.2349865487047,1691.7612436089917,1.181747716529897,16932,18679,1878.6568432956967,1714.5172459689397,1.0957351684345382,25503,20488,2025.8255754779268,1909.935498475999,1.0606774820900498,6432,4718,1979.1424949258678,1765.3971396692937,1.1210749414132473
7,6077,5,55523,61067,3735.8926060837525,3857.2228635420515,0.9685446597848685,1851,2605,3677.3820333366316,3506.3988122649125,1.0487631984341435,12189,15004,3607.214121185283,3721.729035413715,0.9692307222963367,19633,21369,3740.918429974009,3873.790752155312,0.9656996645708406,15934,15733,3848.7317830080715,3994.1625587795297,0.9635891695364807,5916,6356,3924.0452656780226,4017.5143103487203,0.9767346081556124
8,3803,4,45002,36581,4130.833231355567,3672.80377109101,1.12470839413468,6866,4628,4532.237482891037,4465.6609014013375,1.0149085617917848,8905,6378,4220.080007288866,3857.1200724188993,1.0941012797256129,10439,8756,4081.1377922737197,3662.6394253755593,1.114261415961045,12297,11158,4073.492081791311,3451.3761676576255,1.1802515529786202,6495,5661,3865.1210945116186,3463.6666031036175,1.1159044842965768
9,4208,13,103209,98633,1208.9500543137199,1136.5089762278412,1.063739996428639,7876,7807,1350.3872620849165,1112.0860570406703,1.2142830615810258,17133,19177,1183.4403422019025,1064.7761964792821,1.1114451526198532,29466,27674,1192.4537359584185,1142.629554918382,1.0436048418541,31642,31032,1216.4856139897481,1173.5505244991225,1.0365856335916603,17092,12943,1294.5604763669626,1257.8095689819029,1.0292181807893277
